Id,SalePrice
1461,119435.16
1462,142980.23
1463,177125.14
1464,185277.39
1465,178091.2
1466,169380.39
1467,171309.56
1468,162761.03
1469,184113.5
1470,120536.16
1471,150326.55
1472,93942.51
1473,94983.75
1474,132671.7
1475,100298.94
1476,370047.4
1477,250134.23
1478,264045.2
1479,295920.47
1480,496945.22
1481,340774.0
1482,198008.67
1483,167070.7
1484,157314.08
1485,173262.62
1486,181701.12
1487,348353.28
1488,222940.67
1489,198076.92
1490,242268.88
1491,194520.34
1492,94723.95
1493,216755.53
1494,310945.06
1495,269217.06
1496,232177.42
1497,172093.94
1498,171621.52
1499,160806.14
1500,160575.0
1501,188168.89
1502,145366.92
1503,290528.66
1504,236395.83
1505,225659.73
1506,176374.77
1507,246687.11
1508,184030.78
1509,153702.34
1510,146999.77
1511,148924.33
1512,168828.0
1513,125877.39
1514,146351.75
1515,173969.67
1516,145320.64
1517,161154.45
1518,129443.8
1519,197290.42
1520,120167.7
1521,120180.29
1522,174417.98
1523,109339.95
1524,100838.91
1525,118272.375
1526,104501.05
1527,108309.41
1528,115420.555
1529,152923.44
1530,189094.55
1531,124715.195
1532,95133.87
1533,127134.42
1534,124210.984
1535,133268.97
1536,97801.195
1537,62319.88
1538,144921.6
1539,186827.75
1540,121406.34
1541,130646.43
1542,149432.55
1543,175920.42
1544,88244.63
1545,103112.68
1546,144226.23
1547,134793.5
1548,130488.83
1549,126396.31
1550,140393.56
1551,99411.41
1552,144527.22
1553,140373.53
1554,113716.516
1555,167445.03
1556,91756.26
1557,93051.414
1558,99543.72
1559,104163.664
1560,144240.64
1561,117625.49
1562,123869.9
1563,117608.96
1564,152123.45
1565,152766.69
1566,271559.0
1567,80706.45
1568,253808.5
1569,140411.89
1570,128793.11
1571,93982.53
1572,123267.56
1573,198821.58
1574,126380.336
1575,250121.19
1576,252792.39
1577,171453.98
1578,140984.73
1579,147190.31
1580,185855.02
1581,142423.55
1582,124910.22
1583,262339.9
1584,217733.25
1585,136377.1
1586,65710.195
1587,99718.125
1588,141299.78
1589,103075.75
1590,120388.01
1591,74347.484
1592,118407.16
1593,126804.47
1594,131269.53
1595,123351.72
1596,238213.64
1597,193313.66
1598,181997.78
1599,143574.1
1600,131326.88
1601,65196.06
1602,98070.03
1603,70501.96
1604,276784.3
1605,212644.75
1606,152990.02
1607,162362.72
1608,200329.47
1609,170027.19
1610,151601.7
1611,125549.67
1612,174190.52
1613,170439.11
1614,114807.695
1615,83080.02
1616,69959.24
1617,80017.33
1618,121194.53
1619,147593.0
1620,171188.7
1621,131729.02
1622,138258.58
1623,253799.81
1624,216182.02
1625,108827.48
1626,166054.56
1627,186880.73
1628,246934.73
1629,164381.28
1630,332770.34
1631,229984.73
1632,218543.05
1633,164869.56
1634,179970.98
1635,168064.14
1636,151235.14
1637,189775.0
1638,167102.0
1639,172581.78
1640,205494.03
1641,164721.17
1642,247720.89
1643,212670.1
1644,230315.14
1645,184917.56
1646,159091.17
1647,143374.78
1648,123375.18
1649,136616.61
1650,114514.94
1651,114737.98
1652,94618.45
1653,96240.72
1654,137173.05
1655,119144.97
1656,140110.55
1657,143248.66
1658,147358.47
1659,106382.47
1660,145465.4
1661,387255.97
1662,373261.34
1663,361931.66
1664,506015.72
1665,295390.25
1666,347247.28
1667,393942.3
1668,356082.16
1669,300361.9
1670,352412.44
1671,275632.62
1672,405944.88
1673,277328.56
1674,231171.33
1675,193181.33
1676,194532.23
1677,204343.0
1678,480435.78
1679,412795.2
1680,324454.6
1681,237592.62
1682,348180.66
1683,187382.98
1684,165555.3
1685,172824.9
1686,160571.88
1687,153264.23
1688,180212.08
1689,187799.02
1690,186740.14
1691,180669.42
1692,222286.12
1693,153393.22
1694,177915.23
1695,162626.11
1696,228051.11
1697,159391.89
1698,332852.88
1699,368958.97
1700,265179.34
1701,259038.36
1702,196332.22
1703,200246.94
1704,248088.66
1705,235829.97
1706,307812.16
1707,211605.14
1708,203914.33
1709,246728.11
1710,214331.05
1711,267623.97
1712,255755.75
1713,261866.69
1714,197338.16
1715,205330.17
1716,176161.55
1717,166739.73
1718,140877.0
1719,219706.33
1720,222713.95
1721,146753.42
1722,115958.086
1723,145890.44
1724,196393.0
1725,230845.1
1726,172437.5
1727,156407.84
1728,167133.23
1729,169241.19
1730,164009.11
1731,104950.78
1732,133507.78
1733,109606.8
1734,112555.875
1735,106533.055
1736,98315.57
1737,314407.44
1738,256947.2
1739,219299.02
1740,219979.22
1741,190848.67
1742,170519.77
1743,165376.36
1744,346000.03
1745,216261.23
1746,162433.53
1747,183688.56
1748,201865.53
1749,150788.78
1750,120076.86
1751,226506.02
1752,107674.88
1753,142555.45
1754,176782.6
1755,155584.03
1756,136719.16
1757,112982.31
1758,142807.81
1759,142891.31
1760,156554.36
1761,144906.39
1762,165059.47
1763,174092.52
1764,111807.94
1765,145858.81
1766,179442.5
1767,193639.02
1768,132271.27
1769,152929.95
1770,137226.03
1771,109561.78
1772,123665.59
1773,124950.74
1774,145806.97
1775,131482.89
1776,113886.984
1777,109510.0
1778,128522.37
1779,123413.625
1780,150183.66
1781,119197.56
1782,89770.21
1783,139124.98
1784,105085.9
1785,120655.57
1786,133662.7
1787,144889.08
1788,54409.45
1789,91877.26
1790,87620.27
1791,186383.62
1792,141430.27
1793,115001.05
1794,144272.9
1795,119167.8
1796,118713.51
1797,107684.4
1798,122974.99
1799,96252.49
1800,137617.56
1801,124978.875
1802,120307.16
1803,149992.66
1804,123060.48
1805,130862.86
1806,116430.55
1807,132124.28
1808,117328.375
1809,124106.805
1810,128474.72
1811,87944.74
1812,84355.36
1813,114755.58
1814,97071.49
1815,50916.566
1816,94800.75
1817,113155.055
1818,158901.61
1819,139510.44
1820,73334.305
1821,92761.44
1822,143678.22
1823,39127.367
1824,125884.69
1825,126473.086
1826,112567.2
1827,101458.69
1828,134657.22
1829,133019.3
1830,137327.16
1831,118895.3
1832,57690.582
1833,123447.48
1834,110013.98
1835,119124.75
1836,109809.38
1837,75351.11
1838,110720.984
1839,101256.59
1840,133036.95
1841,122830.836
1842,84203.9
1843,134516.47
1844,140291.08
1845,139248.16
1846,145825.17
1847,176804.8
1848,50764.902
1849,95342.89
1850,106447.2
1851,122778.05
1852,124144.83
1853,113248.98
1854,148005.27
1855,150576.72
1856,225238.58
1857,122144.86
1858,135895.1
1859,110413.58
1860,152982.4
1861,102888.98
1862,314320.94
1863,290131.06
1864,290139.38
1865,366176.44
1866,310877.28
1867,210294.53
1868,275578.12
1869,197322.4
1870,207412.53
1871,249565.39
1872,181896.6
1873,262334.53
1874,136879.97
1875,152027.55
1876,199451.34
1877,190790.02
1878,188962.69
1879,131355.02
1880,120505.41
1881,238595.92
1882,220778.45
1883,171305.86
1884,191939.6
1885,205644.42
1886,276588.47
1887,205503.14
1888,236018.02
1889,178473.88
1890,111826.234
1891,115174.09
1892,80996.766
1893,114376.65
1894,115372.82
1895,120815.41
1896,118852.74
1897,122597.53
1898,112182.94
1899,162004.83
1900,187283.72
1901,185717.69
1902,156359.48
1903,231744.67
1904,157436.12
1905,177311.02
1906,124051.18
1907,199615.7
1908,100331.25
1909,127826.625
1910,115227.336
1911,203934.34
1912,335993.38
1913,152361.4
1914,64940.125
1915,348255.72
1916,51251.67
1917,197557.47
1918,135036.05
1919,160635.55
1920,140183.77
1921,373529.94
1922,317577.84
1923,222629.73
1924,259104.03
1925,192626.08
1926,364698.22
1927,118968.305
1928,154129.8
1929,107409.79
1930,132696.48
1931,128675.76
1932,119163.305
1933,188621.72
1934,173215.2
1935,167861.98
1936,192620.42
1937,170134.78
1938,153518.4
1939,260168.86
1940,179532.52
1941,161392.25
1942,153769.6
1943,209229.84
1944,398965.22
1945,423822.12
1946,127465.73
1947,230148.28
1948,144839.64
1949,217157.47
1950,172165.23
1951,255937.3
1952,186509.98
1953,170253.44
1954,172806.31
1955,132074.86
1956,260886.36
1957,148740.58
1958,233907.98
1959,141712.3
1960,101234.44
1961,120266.94
1962,90091.15
1963,103419.67
1964,101222.25
1965,135443.62
1966,118407.47
1967,318603.94
1968,410171.62
1969,389955.4
1970,424465.22
1971,409947.16
1972,367915.84
1973,285264.9
1974,328996.16
1975,495900.34
1976,279381.9
1977,361040.5
1978,359932.9
1979,309465.16
1980,209437.3
1981,340743.72
1982,206156.45
1983,193903.44
1984,159985.83
1985,216689.03
1986,193106.08
1987,190430.03
1988,173946.52
1989,178186.75
1990,194101.53
1991,211402.98
1992,204173.47
1993,157968.3
1994,187014.39
1995,177008.81
1996,274591.47
1997,311792.8
1998,307754.6
1999,329864.25
2000,323315.75
2001,329269.4
2002,214929.89
2003,236221.39
2004,302635.78
2005,207576.12
2006,211371.28
2007,240974.33
2008,216597.61
2009,195362.27
2010,182345.92
2011,123703.72
2012,177870.61
2013,175571.75
2014,174387.33
2015,202214.28
2016,189263.89
2017,180886.02
2018,101486.086
2019,130109.05
2020,83649.79
2021,96398.41
2022,201453.55
2023,136403.89
2024,282323.97
2025,387006.88
2026,165553.94
2027,163401.16
2028,149360.7
